fazenda;fb.total;gmd;iep;mortalidade;mort_inicial;vazio;ef_microb;classificacao;densidade;caaj
1000;5700;72;380;7,4;1,1;16;50;3;14;1,72
1001;5590;70;370;6,2;0,9;17;40;4;14;1,771
1002;5540;70;370;6,7;0,9;17;30;4;14;1,804
1003;5840;70;370;8,3;0,8;18;50;2;14;1,741
1004;5900;71;380;7,4;0,9;18;50;2;14;1,757
1005;5670;73;400;5,1;0,6;15;70;4;13;1,695
1006;5860;68;360;5;1;16;70;4;14;1,784
1007;6070;72;380;6,8;0,7;17;90;3;14;1,725
1008;5370;69;370;6,7;0,8;17;10;3;14;1,764
1009;5820;67;350;7,3;0,7;17;20;3;13;1,82
101;6250;70;360;6,8;0,9;16;60;3;13;1,792
1010;5570;72;390;6,8;0,8;17;30;2;14;1,717
1011;5450;71;400;5,1;0,8;16;40;4;14;1,694
1012;5370;70;350;10,7;1,5;17;90;4;13;1,798
1013;5560;71;350;9,8;1,5;17;70;4;14;1,779
1014;6010;70;370;6,2;0,6;17;50;3;12;1,759
1015;5660;71;400;5,7;0,6;17;60;2;12;1,7
1016;5300;70;380;5,6;0,8;16;20;3;14;1,74
1017;5470;70;380;6,8;1,6;16;50;3;14;1,712
1018;5810;75;410;5,6;0,8;17;10;3;13;1,698
1019;5710;70;370;7,1;0,8;17;60;4;14;1,751
102;5790;72;370;8,3;0,8;16;70;3;14;1,768
1020;5490;69;370;5,4;0,7;16;70;3;14;1,771
1021;5400;71;360;7,4;0,8;17;70;3;14;1,801
1022;5850;68;350;6,6;1,1;16;60;4;14;1,798
1023;5260;70;360;7;0,6;17;80;4;13;1,782
1024;5910;76;430;4,6;0,8;16;10;2;9;1,624
1025;5750;72;400;4,3;0,7;17;40;4;14;1,698
1026;5520;72;390;5,6;1,2;18;30;5;14;1,725
1027;4950;72;380;8,8;0,9;18;50;3;14;1,745
1028;5170;69;380;7,6;0,9;17;60;2;14;1,762
1029;5330;71;370;6,3;0,9;18;60;3;14;1,772
103;6240;74;400;6,5;1,3;15;40;3;13;1,651
1030;5380;71;380;8,8;1;18;70;2;13;1,75
1031;5610;75;400;6,8;2,2;16;20;5;13;1,711
1032;5920;74;420;6,3;1,7;18;70;3;13;1,642
1033;5950;73;410;6,9;1,2;19;50;3;13;1,655
1034;5640;72;380;6,8;0,8;19;80;4;14;1,711
1035;5980;72;390;6,8;0,6;16;10;3;14;1,692
1036;5760;71;390;3,8;0,7;16;20;4;13;1,742
1037;5630;71;380;5,2;0,8;17;30;4;13;1,761
1038;5930;71;390;6;0,7;17;80;4;14;1,709
1039;5680;68;360;7;0,9;16;60;4;14;1,775
104;5530;69;380;6,3;0,9;17;30;3;13;1,742
1040;6200;72;380;7,3;0,8;17;60;4;14;1,739
1041;5870;71;380;5,7;1;17;50;4;14;1,747
1042;5810;71;380;6,9;1;17;70;4;14;1,745
1043;6270;69;370;7;1,1;17;40;4;14;1,758
1044;5890;70;330;11,2;1,9;16;50;2;14;1,839
1045;5780;70;350;10,6;2;16;50;2;14;1,771
1046;5910;74;400;5,8;1;16;60;5;14;1,69
1047;5960;74;400;6,4;0,9;16;40;5;14;1,665
1048;5560;72;400;6,3;1,3;17;70;5;14;1,678
1049;5830;75;420;5;0,6;17;10;3;13;1,673
105;5470;68;360;6,1;1,3;16;20;3;13;1,792
1050;5530;71;390;6,3;0,5;17;70;4;14;1,735
1051;5810;73;410;6,7;1;16;40;4;12;1,681
1052;5660;72;400;6,4;0,9;17;30;4;12;1,683
1053;5800;73;410;6,3;0,8;16;40;3;12;1,689
1054;5760;74;410;6,2;0,8;16;40;4;12;1,671
1055;5520;72;400;5,8;0,9;17;60;4;12;1,698
1056;5570;73;400;6,9;0,8;16;60;3;12;1,683
1057;5470;68;360;5,9;1,8;16;70;1;14;1,746
1058;5320;69;380;6,7;1,9;16;70;2;14;1,748
1059;5900;76;440;4,3;0,8;18;20;6;9;1,605
1060;5860;71;390;7,4;0,7;17;30;3;14;1,753
1061;5730;73;390;5,7;1;18;20;4;14;1,712
1062;5490;71;380;5,1;0,9;16;20;4;14;1,723
1063;5510;67;360;4,9;0,8;17;70;3;14;1,807
1064;5600;70;370;6,8;1;16;60;4;13;1,756
1065;5370;73;390;6,4;1,4;17;50;4;14;1,685
1066;5850;71;360;8,5;1;16;70;4;14;1,774
1067;5580;69;360;6,6;1,6;15;60;4;14;1,766
1068;5570;73;410;5,1;0,9;17;20;4;14;1,67
1069;5740;72;400;5,5;1;17;50;4;13;1,717
107;5970;74;410;5,4;1,2;18;10;3;12;1,652
1073;6080;70;370;7,3;0,8;15;60;4;14;1,75
1074;6110;70;370;8,7;0,8;15;50;4;14;1,736
1075;5690;71;380;5,7;1,1;16;40;5;14;1,762
1076;5660;70;370;4,9;0,9;16;30;5;14;1,74
1077;5330;70;380;6,1;0,8;17;80;3;14;1,749
1078;4890;70;380;5,5;1,2;17;50;3;14;1,725
1079;5080;70;370;6,7;1;17;60;3;14;1,738
108;5660;70;350;5,9;0,9;16;40;3;14;1,808
1080;5140;70;390;5,9;0,9;17;60;4;14;1,731
1081;5310;71;390;5,1;0,9;19;50;4;14;1,712
1082;5350;71;420;4,3;0,8;19;80;4;14;1,671
1083;5840;69;370;6,8;0,8;16;10;5;14;1,771
1084;5800;73;400;6,5;0,8;18;50;4;13;1,712
1085;5650;73;400;5,8;1;17;60;5;14;1,695
1086;5790;72;390;5,4;0,6;18;30;3;14;1,715
1087;5760;69;350;5,3;0,8;15;40;4;14;1,775
1088;5180;68;360;6,3;1;18;60;5;14;1,771
1089;5410;70;370;7,4;0,8;17;40;4;14;1,802
1090;6040;73;400;4,9;0,8;16;50;4;14;1,719
1091;5820;68;380;5,7;0,8;19;60;4;14;1,808
1092;5700;68;360;7,3;0,8;19;50;5;14;1,786
1093;5800;68;370;7;0,8;19;70;5;14;1,758
1094;5750;70;370;6,9;0,6;16;100;5;14;1,76
1095;5800;70;370;7,3;0,7;15;60;5;14;1,752
1096;5660;71;330;10,6;0,7;18;90;5;13;1,803
1097;5740;72;400;3,9;0,7;18;60;4;14;1,711
1098;5760;72;380;7;1;18;10;5;14;1,756
1099;5410;69;380;4,7;1;16;40;4;13;1,769
110;5870;69;360;5,6;0,4;18;50;3;13;1,839
1100;4980;67;340;8;2,1;16;40;3;13;1,805
1101;5140;66;340;7;1,6;16;20;3;14;1,812
1102;5820;75;410;6,1;1;17;30;4;14;1,646
1103;5770;74;400;6,3;1;17;60;4;14;1,671
1104;5830;75;400;6,2;0,9;17;70;4;14;1,679
1105;5740;73;400;7,6;0,8;17;30;4;14;1,718
1106;5600;68;380;6,7;1,4;18;40;5;14;1,724
1107;6000;74;410;6,3;0,8;16;30;3;14;1,651
1108;5860;72;390;7,3;1,1;17;70;3;14;1,703
1109;5450;71;400;5,7;0,7;15;50;3;14;1,698
111;5820;70;360;6,8;0,5;17;60;3;12;1,763
1110;5990;71;370;8,7;0,7;15;60;3;14;1,73
1111;5560;69;360;7,1;0,8;17;70;5;14;1,775
1112;5650;70;350;8,4;1,2;16;40;5;14;1,773
1113;5880;73;410;5,5;0,7;17;30;4;14;1,638
1114;5900;73;420;5,1;0,9;18;40;4;14;1,674
1115;6200;73;400;6,1;0,9;18;40;4;14;1,712
1116;5380;68;370;5,6;0,7;17;50;5;14;1,772
1117;5510;70;350;8,2;1,1;17;60;5;15;1,783
1118;5570;69;360;8,1;1,2;17;70;5;15;1,813
1119;6280;71;360;8,9;0,8;15;60;5;14;1,785
112;5500;70;390;7,4;0,9;16;60;4;14;1,727
1120;5650;70;380;5,4;1;17;30;5;14;1,751
1121;5510;73;400;7;1,2;17;30;6;14;1,697
1122;5840;74;400;6,6;1;16;50;5;14;1,684
1123;5840;75;410;6,4;1,1;16;40;5;14;1,676
1124;5650;72;380;8,5;1;16;80;5;14;1,71
1125;5420;72;400;4;1,1;17;40;4;14;1,722
1126;5430;67;360;6,9;0,6;15;60;5;14;1,779
1127;5780;70;350;7,8;1;16;60;5;14;1,84
1128;5600;67;350;7,8;0,8;17;60;5;14;1,865
1129;5990;72;390;6,2;0,9;16;70;5;14;1,689
113;5530;73;400;6,1;1;18;60;3;13;1,707
1130;5950;73;390;6,7;0,8;15;70;5;14;1,71
1131;5670;72;390;6,1;0,6;16;30;4;14;1,715
1132;5280;70;380;5;0,9;17;80;3;14;1,737
1133;5650;72;380;6,7;0,9;16;70;5;14;1,723
1134;5790;71;390;7;1;16;60;5;14;1,717
1135;5600;71;380;4,7;0,7;17;10;5;14;1,738
1136;5930;72;390;5,6;0,6;16;20;5;14;1,733
1137;5300;70;380;5,9;1,4;16;70;4;14;1,7
1138;5400;72;390;6,1;1,3;16;50;4;14;1,708
1139;5390;72;390;7,1;1,4;16;50;4;14;1,7
114;5640;72;370;6,6;0,6;17;70;3;13;1,795
1140;5980;75;400;7,3;1;16;40;5;14;1,702
1141;5380;73;410;4;0,7;16;10;6;14;1,684
1142;5590;72;390;5,6;0,9;16;10;5;14;1,719
1143;5700;73;400;4,6;0,8;15;20;6;14;1,72
1144;5440;71;390;7;0,9;17;60;5;14;1,734
1145;5690;72;410;4,8;1;17;30;6;14;1,664
1146;5560;65;350;5,9;0,6;16;50;5;14;1,807
1147;5360;72;410;4,1;0,9;18;10;6;14;1,722
1148;5540;71;390;6,1;0,7;17;60;5;14;1,707
1149;5740;71;380;5,8;0,5;15;70;4;14;1,76
115;5560;72;360;8,9;1,1;16;50;3;14;1,748
1150;5850;73;390;6,7;0,6;15;60;4;14;1,727
1151;5360;72;410;5,2;1,2;17;30;6;14;1,643
1152;5820;74;400;5,6;1,1;17;30;6;14;1,663
1153;5470;71;390;6,2;1;17;40;5;14;1,677
1154;5690;72;390;7,2;0,9;17;40;6;14;1,686
1155;5530;72;410;5;1,3;17;30;5;14;1,666
1156;5480;73;400;4,5;0,6;16;80;5;14;1,677
1157;5360;72;400;6,1;1,2;16;50;5;14;1,695
1158;5530;71;390;6,4;1,6;16;20;5;14;1,7
1159;5760;71;390;6,3;1;17;60;5;14;1,685
1160;5850;72;410;4,1;0,7;17;40;5;12;1,671
1161;5990;72;410;4;0,7;17;20;5;13;1,661
1162;5620;72;390;6,2;0,8;18;50;6;14;1,707
1163;5350;71;380;7,2;0,9;18;50;5;14;1,72
1164;5720;71;390;6,7;0,8;18;70;5;14;1,721
1165;5460;72;400;7,3;0,8;18;50;5;14;1,695
1166;5670;71;390;5,6;0,6;16;60;5;14;1,735
1167;5760;72;390;4,9;0,5;16;50;5;14;1,727
1168;5710;72;400;5,5;1;16;40;5;14;1,719
1169;5890;72;390;5,2;0,9;16;50;5;14;1,736
117;5170;69;370;6,4;1;14;50;1;15;1,771
1170;5820;71;400;5;0,7;16;60;5;14;1,694
1171;5630;72;400;5,9;0,8;16;30;5;14;1,689
1172;5910;72;400;5,2;0,8;16;50;5;14;1,692
1173;5490;72;380;6,9;1,1;17;30;5;14;1,72
1174;5700;70;370;6,6;0,8;17;60;4;14;1,728
1175;5750;73;400;4,1;0,9;17;10;6;14;1,677
1176;5690;73;400;5,3;0,8;17;10;6;14;1,69
1177;5780;72;410;4,5;1;17;30;6;14;1,633
1178;5790;70;380;7,4;0,7;15;90;5;14;1,742
1179;5760;72;390;7,1;0,8;17;80;4;14;1,745
118;5510;73;400;4,7;1;16;0;4;14;1,652
1180;5580;73;390;6,3;1,4;17;20;4;14;1,683
1181;6000;70;360;10,4;0,9;17;50;5;14;1,744
1182;5560;69;360;9,3;0,9;17;60;5;14;1,734
1183;5820;72;390;5,7;0,9;17;50;5;14;1,684
1184;5800;72;400;7,1;1;16;40;5;14;1,692
1185;5820;71;380;7,3;0,8;16;50;5;14;1,715
1186;5860;74;400;5;0,7;17;60;5;14;1,681
1187;5900;73;410;4,3;0,6;16;60;5;14;1,681
1188;5900;74;400;5,3;0,7;16;40;6;14;1,665
1189;5800;73;400;4,8;0,7;17;60;6;14;1,694
1190;5530;69;370;7;0,7;17;80;5;13;1,738
1191;5920;71;370;9,6;0,9;16;60;5;14;1,763
1192;5790;69;370;7,5;1;16;40;5;14;1,742
1193;5470;72;390;7,1;0,8;16;20;5;14;1,712
1194;5450;71;400;6,7;0,8;16;30;5;14;1,681
1195;5690;74;370;8,2;0,8;16;30;5;14;1,702
1196;5920;72;380;7,7;1,1;15;10;5;14;1,7
1197;5550;71;380;6,9;1,3;16;40;5;14;1,719
1198;5740;71;370;8;0,8;17;60;5;14;1,757
1199;5430;70;390;4,4;0,8;17;80;5;14;1,714
120;5260;69;380;5,5;1,3;17;20;2;14;1,713
1200;5330;70;400;4,8;0,7;17;60;5;14;1,711
1201;5500;70;390;6;0,8;16;50;5;14;1,706
1202;5600;72;400;7,2;1;16;70;5;14;1,668
1203;5370;70;380;5,9;0,8;18;50;5;14;1,732
1204;5420;71;370;6,9;0,7;18;70;5;14;1,769
1205;5410;75;420;5,2;1,3;17;20;5;14;1,671
1206;5500;72;400;4,3;0,6;17;80;5;14;1,685
1207;5430;72;400;4;0,6;17;60;5;14;1,688
1208;6050;70;380;6,8;0,9;16;80;5;14;1,708
1209;6010;70;370;8,4;0,9;17;70;5;14;1,723
121;6070;70;360;7;0,7;16;30;2;13;1,787
1210;5530;71;390;4,4;0,9;17;60;5;13;1,734
1211;5610;72;380;6,9;0,9;17;40;5;13;1,736
1212;5860;70;370;5,8;0,9;16;20;5;13;1,741
1213;5540;73;400;7,1;0,5;17;10;5;14;1,705
1214;5650;71;380;7,1;0,7;17;30;5;14;1,733
1215;5450;72;390;7,6;1;16;60;4;14;1,713
1216;5900;72;390;6,8;1;16;40;5;14;1,675
1217;5780;73;400;5,8;1;15;60;5;14;1,665
1218;5670;71;390;6,2;0,8;16;60;5;14;1,709
1219;5820;72;390;6,5;0,9;16;50;5;14;1,701
122;5800;72;400;4,9;0,6;18;40;2;13;1,7
1220;5650;73;400;5,4;0,6;16;20;5;14;1,692
1221;5670;73;410;4,8;0,7;16;50;5;14;1,675
1222;5750;74;410;6,3;1;16;40;5;14;1,668
1223;5930;73;410;5,4;0,8;18;20;6;14;1,659
1224;5680;74;400;6,1;1;18;10;5;14;1,679
1225;5560;73;390;7,1;0,9;18;40;5;14;1,687
1226;5860;70;360;5,8;1;16;50;5;14;1,771
1227;5690;72;380;5,2;1,7;16;30;5;14;1,717
1228;5910;73;380;5;1,4;16;30;5;14;1,714
1229;5810;71;390;4,5;1,6;16;40;5;14;1,755
123;5630;71;380;5;0,8;16;40;2;13;1,774
1230;5700;72;400;3,4;1,6;16;10;5;14;1,706
1231;5900;73;400;6,4;0,8;16;10;5;14;1,69
1232;5520;73;410;5,3;0,7;16;20;5;14;1,663
1233;5850;72;380;6,8;0,7;15;30;4;14;1,701
1234;5590;72;400;4,9;0,8;15;10;6;14;1,673
1235;5950;70;360;7,2;0,9;17;70;5;14;1,788
1236;5480;70;390;6,8;1;17;60;5;14;1,732
1237;5470;71;380;5,6;0,8;16;50;4;14;1,74
1238;5300;71;400;5,3;0,7;16;70;4;14;1,688
1239;5320;71;390;5,8;1;16;50;4;14;1,701
124;5850;69;360;7,2;0,8;17;80;4;14;1,821
1240;5390;72;390;5,9;1;16;50;4;14;1,691
1241;5460;70;390;5,3;1,3;18;80;5;14;1,694
1242;5600;72;380;6,2;1,2;18;20;5;14;1,741
1243;5420;72;400;5,4;1;17;40;5;14;1,688
1244;5680;70;380;5,7;0,8;16;30;4;14;1,747
1245;6070;72;390;5,5;0,7;16;30;5;14;1,733
1246;5510;71;370;7,8;1,1;17;60;5;14;1,747
1247;5730;68;360;6,4;1;15;40;5;14;1,771
1248;5380;69;370;6,8;1,1;16;60;4;14;1,743
1249;5630;69;360;7,8;1,2;16;80;4;14;1,781
125;5260;72;390;6,5;0,9;17;70;3;12;1,74
1250;5630;72;400;5,6;0,9;17;20;6;14;1,698
1251;5610;72;390;5,3;0,8;17;30;6;14;1,706
1252;5500;71;390;5,8;0,8;16;60;6;14;1,721
1253;5680;72;400;6,1;0,9;16;60;5;14;1,714
1254;5950;74;390;7,7;1,4;15;70;6;13;1,686
1255;5730;73;390;7,6;1,4;15;90;5;13;1,711
1256;5650;73;380;7,2;1,4;15;90;5;13;1,714
1257;5740;74;410;7,6;1,8;15;90;6;13;1,666
1258;5780;73;390;7;0,9;16;20;3;14;1,679
1259;5850;73;390;5,5;0,8;16;20;4;14;1,728
126;5460;72;390;6;0,9;17;60;3;12;1,716
1260;5530;72;390;5,9;1;16;10;5;14;1,723
1261;5670;74;400;7,1;0,9;16;50;5;14;1,682
1262;5900;73;390;6,8;0,8;15;40;5;14;1,656
1263;5820;74;400;7,4;0,8;16;20;5;14;1,668
1264;5800;72;380;8,1;1,1;16;50;5;14;1,715
1265;5810;71;380;6,4;0,8;16;40;5;14;1,709
1266;5850;72;390;6,6;1;16;20;5;14;1,691
1267;5660;73;400;4,5;0,5;16;20;5;14;1,682
1268;5720;71;350;7,8;0,6;16;70;5;14;1,827
1269;5820;70;360;7,9;0,9;16;20;5;14;1,782
127;5160;69;360;6,5;1,1;16;90;4;13;1,781
1270;5600;72;390;5,8;0,4;15;60;5;14;1,692
1271;5940;72;400;7,3;1,2;16;20;5;14;1,68
1272;5720;72;380;7,6;1;16;10;5;14;1,699
1273;5700;72;390;8,6;1,1;16;10;5;14;1,728
1274;5660;72;380;7,8;1,1;17;10;5;14;1,725
1275;5930;73;380;8,2;1,2;15;60;5;14;1,698
1276;5950;72;370;8,8;1,2;15;30;5;14;1,73
1277;5850;71;380;7,5;1;15;40;5;14;1,711
1278;6060;72;390;8,6;0,8;15;70;5;14;1,688
1279;5740;72;400;6,6;0,7;16;20;5;14;1,673
1280;5670;73;400;6,2;0,9;15;30;6;14;1,673
1281;5800;74;380;10;0,7;15;30;5;14;1,728
1282;6100;74;380;9,8;1;15;20;5;14;1,702
1283;5890;72;390;7,1;1,2;15;20;5;14;1,694
1284;5770;72;380;7,7;1,2;15;20;5;14;1,701
1285;5980;73;380;7,9;0,6;16;50;4;14;1,74
1286;5670;72;390;5,9;0,5;16;60;4;14;1,733
1287;5680;72;400;4,8;0,6;16;80;4;14;1,709
1288;5660;71;400;4,8;0,5;16;40;5;14;1,705
1289;5430;71;380;5,2;0,9;15;80;5;14;1,749
129;5800;73;380;7,4;0,7;16;60;2;13;1,704
1290;5630;71;390;7,1;1;16;80;5;14;1,752
1291;5780;72;420;4,5;0,7;17;20;5;14;1,638
1292;5630;72;390;6,6;0,9;16;50;5;14;1,726
1293;6450;77;430;5,7;1,1;16;20;6;9;1,63
1294;5720;74;410;4,3;0,8;16;10;5;14;1,702
1295;5710;74;380;5,6;0,8;16;60;5;13;1,752
1296;5480;72;400;6;1;16;20;5;14;1,686
1297;5600;74;400;5,7;1,3;16;70;5;14;1,707
1298;5430;73;400;7,6;0,8;18;60;5;14;1,678
1299;5280;73;400;5,5;0,6;18;60;5;14;1,665
130;5940;72;390;6;0,8;16;60;2;13;1,702
1300;5600;72;400;6,5;0,9;16;10;5;14;1,661
1301;5420;71;390;6,6;0,9;15;20;5;14;1,719
1302;5600;75;390;8,1;1,7;17;50;3;13;1,66
1303;5400;72;410;5,1;1,8;15;80;5;14;1,672
1304;6340;74;410;4,6;0,8;17;40;5;13;1,699
1305;5860;75;390;10,4;1,7;14;90;4;13;1,686
1306;5700;75;390;11,4;0,9;14;90;4;13;1,699
1307;5390;70;380;5,6;1,2;15;20;5;14;1,685
1308;6260;72;380;6,6;1,3;15;40;6;14;1,779
1309;5810;70;390;7,6;1,1;15;60;6;14;1,707
131;5360;64;330;6,6;1,6;15;80;4;14;1,872
1310;5640;71;370;8,6;0,4;15;0;5;13;1,72
1311;5750;72;390;5,4;0,4;15;70;5;13;1,732
1312;5590;71;360;4,3;0,4;15;100;5;13;1,764
1313;5660;71;380;6,6;0,4;15;100;4;13;1,749
1314;5740;75;430;4,3;0,6;14;100;4;14;1,629
1315;4650;73;420;4,6;1,4;14;0;5;14;1,646
1316;5030;73;430;4;1,2;14;0;4;14;1,66
132;5410;70;380;6,5;0,6;17;70;3;13;1,734
133;5570;71;380;8,2;1;17;30;2;14;1,726
134;5850;71;390;8,6;1,9;16;60;4;14;1,719
135;5620;72;400;6,5;1,9;16;70;4;14;1,663
136;5390;64;330;7,8;2;16;30;4;13;1,779
137;5570;72;390;7,4;1,2;16;20;3;13;1,69
138;5460;69;370;5,6;0,7;17;20;3;12;1,794
139;4990;66;350;7;2,3;16;0;2;13;1,787
140;5840;68;360;6,4;1;16;70;2;13;1,757
141;5730;71;390;6,2;1,5;18;20;3;13;1,696
142;5320;68;350;8;1,3;16;70;4;14;1,777
143;5910;70;360;6,2;1,4;17;50;4;14;1,735
144;5140;65;350;6,8;1,8;16;40;3;12;1,822
145;5140;67;370;6,1;1,5;17;30;3;12;1,774
147;5450;74;410;5,4;1,1;18;30;3;13;1,656
148;5630;72;390;6;1;18;30;3;13;1,684
149;5560;71;380;7,7;1,5;17;50;2;14;1,723
150;6200;72;360;10,7;1,4;17;60;4;14;1,734
151;5960;72;400;5,5;1,2;16;10;2;12;1,678
152;5630;72;400;5,6;1,4;16;0;2;12;1,677
153;5700;69;360;5,9;0,8;17;60;4;12;1,771
154;5780;70;350;7,5;0,9;17;60;4;14;1,788
155;6070;70;360;5,7;0,9;17;60;3;14;1,747
156;5780;69;360;6,7;0,8;17;10;3;13;1,827
157;5650;72;390;6,2;1;16;50;3;13;1,693
